Unnamed: 0;ID;Genero;Edad;Profesion;Experiencia laboral;Gastoscore;Family_Size;Generacion;Ingresos anuales brutos;Provincia;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;cluster
0;CLI2;1;24;3;2;1;4;2;13945;30;1.029;30;0;278;1
1;CLI3;0;42;4;0;2;3;3;118107;37;1.79;30;0;455;0
2;CLI4;0;74;4;0;1;1;1;53533;8;1.326;50;0;380;2
3;CLI5;1;74;8;0;0;2;1;82273;16;0.779;50;1;387;2
4;CLI6;0;44;7;0;0;6;1;90776;4;1.767;30;1;299;2
5;CLI7;1;62;0;0;2;2;1;54280;34;1.15;30;0;278;3
6;CLI8;1;35;3;1;1;3;3;20885;3;0.916;30;0;234;1
7;CLI9;0;36;3;1;1;3;3;27840;27;1.56;30;0;540;1
8;CLI10;0;67;4;0;1;3;1;93442;39;1.385;80;1;195;3
9;CLI11;0;61;0;0;2;4;1;96524;11;1.385;80;0;483;0
10;CLI12;0;29;4;2;1;3;3;20504;13;2.72;30;0;446;1
11;CLI13;1;21;3;2;1;4;2;20827;48;2.202;30;1;319;1
12;CLI14;0;21;2;2;1;1;2;13798;29;1.374;30;0;96;1
13;CLI15;1;77;8;0;1;1;1;45283;41;1.228;30;0;437;2
14;CLI16;0;64;5;0;1;1;1;124152;13;0.779;120;0;375;0
15;CLI17;0;45;3;0;1;2;1;46553;16;0.801;30;0;409;0
16;CLI18;0;35;1;1;1;5;3;30513;49;1.767;30;0;328;1
17;CLI19;1;34;3;1;1;6;3;31841;22;1.606;30;1;223;1
18;CLI20;1;64;7;0;2;4;1;67505;3;0.72;80;0;118;3
19;CLI21;0;87;0;0;0;1;0;114299;26;0.759;50;0;156;2
20;CLI22;1;54;1;0;1;1;1;123974;12;0.622;50;0;51;3
21;CLI23;0;20;3;2;1;4;2;21211;44;2.651;30;0;216;1
22;CLI24;1;36;0;1;1;2;3;24060;25;0.916;30;0;355;1
23;CLI25;0;40;0;1;1;2;3;32294;1;1.077;30;1;135;1
24;CLI26;0;64;2;0;2;3;1;62196;47;0.876;30;0;223;3
25;CLI27;1;62;0;0;2;3;1;126060;13;1.737;200;1;295;0
26;CLI28;1;34;3;1;1;8;3;18106;20;1.974;30;0;490;1
27;CLI29;1;54;0;0;2;3;1;32830;4;0.72;30;0;190;3
28;CLI30;1;39;0;1;1;1;3;29902;18;1.008;30;0;38;1
29;CLI31;0;39;0;1;1;4;3;28830;17;1.146;30;1;373;1
30;CLI32;0;50;0;0;1;3;1;109666;24;1.17;80;0;416;0
31;CLI33;0;46;5;0;1;2;1;58123;2;0.72;30;0;421;0
32;CLI34;1;21;3;2;1;3;2;16852;27;1.512;30;1;168;1
33;CLI35;1;29;1;2;1;1;3;28710;0;2.823;30;0;219;1
34;CLI36;0;91;8;0;0;2;0;82612;26;1.091;120;0;337;2
35;CLI37;0;30;3;2;1;4;3;21099;5;1.261;30;0;152;1
36;CLI38;1;35;5;1;1;1;3;21460;49;1.537;30;0;240;1
37;CLI39;0;31;3;2;2;5;3;23394;2;1.054;30;0;325;1
38;CLI40;0;31;0;2;1;2;3;22565;40;0.87;30;0;520;1
39;CLI41;1;62;0;0;2;2;1;49475;8;1.6;50;0;493;0
40;CLI42;0;52;0;0;1;1;1;63940;37;0.798;50;0;33;3
41;CLI43;0;24;3;2;1;2;2;17510;43;2.996;30;1;337;1
42;CLI44;0;30;0;2;1;3;3;22608;16;1.261;30;0;40;1
43;CLI45;0;54;0;0;1;2;1;53294;44;0.896;50;1;389;3
44;CLI46;1;44;4;0;1;1;1;25196;9;1.629;30;1;265;3
45;CLI47;0;87;8;0;0;2;0;48021;49;1.385;30;0;223;2
46;CLI48;1;45;0;0;2;4;1;64917;18;1.698;30;1;187;3
47;CLI49;0;32;3;1;1;1;3;22818;44;0.801;30;1;305;1
48;CLI50;1;21;3;2;1;4;2;19656;1;2.306;30;0;249;1
49;CLI51;0;50;4;0;1;1;1;26612;24;1.17;30;0;395;3
50;CLI52;0;67;0;0;2;2;1;107377;2;1.561;120;1;152;3
51;CLI53;0;40;0;1;2;2;3;83364;4;1.56;50;0;337;0
52;CLI54;1;44;0;0;1;1;1;59461;4;1.79;50;1;330;3
53;CLI55;0;63;7;0;2;2;1;90571;23;0.974;50;0;128;3
54;CLI56;1;84;6;0;1;1;0;87489;44;1.385;120;0;550;2
55;CLI57;1;35;0;1;2;2;3;19307;48;1.514;30;0;462;1
56;CLI58;1;28;3;2;1;4;3;27496;20;2.237;30;0;401;1
57;CLI59;1;35;5;1;1;2;3;20048;29;0.916;30;0;186;1
58;CLI60;0;50;0;0;2;3;1;73150;39;0.74;80;0;523;0
59;CLI61;1;79;8;0;1;1;0;77468;39;1.58;50;0;579;2
60;CLI62;1;53;0;0;2;2;1;22901;8;0.72;30;0;65;3
61;CLI63;1;61;0;0;2;2;1;56381;8;0.583;50;0;296;3
62;CLI64;1;81;8;0;0;3;0;31295;36;0.818;30;1;170;2
63;CLI65;1;62;8;0;0;2;1;102447;18;1.404;50;0;571;2
64;CLI66;1;65;8;0;0;2;1;76260;5;1.502;50;0;215;2
65;CLI67;1;28;7;2;1;2;3;25833;47;2.168;30;0;372;1
66;CLI68;1;34;5;1;2;2;3;26168;40;0.939;30;0;594;1
67;CLI69;1;30;0;2;1;4;3;27182;18;1.583;30;0;186;1
68;CLI70;1;63;0;0;2;4;1;42360;20;1.033;30;0;35;3
69;CLI71;0;43;1;0;0;2;3;86946;37;0.824;50;0;198;3
70;CLI72;1;30;3;2;1;2;3;21017;2;1.813;30;0;451;1
71;CLI73;0;56;7;0;2;2;1;125882;26;0.661;50;1;327;3
72;CLI74;0;52;0;0;2;5;1;47137;8;0.837;30;0;372;3
73;CLI75;0;36;3;1;1;4;3;22495;13;2.02;30;0;215;1
74;CLI76;1;62;0;0;2;4;1;59420;43;1.326;80;0;223;3
75;CLI77;0;36;1;1;1;3;3;24846;27;0.732;30;0;145;1
76;CLI78;0;40;5;1;1;2;3;103438;41;1.721;50;1;249;3
77;CLI79;1;56;0;0;1;3;1;28702;17;1.17;30;1;391;3
78;CLI80;1;50;4;0;2;2;1;72025;2;0.622;50;0;47;3
79;CLI81;0;54;8;0;1;1;1;40072;10;1.248;50;0;311;2
80;CLI82;1;33;3;1;1;4;3;19080;12;1.813;30;0;340;1
81;CLI83;0;29;3;2;1;3;3;23048;5;2.72;30;1;220;1
82;CLI84;1;69;0;0;1;1;1;47386;23;0.72;50;0;549;0
83;CLI85;1;39;7;1;2;4;3;23456;9;1.261;30;0;512;1
84;CLI86;0;21;6;2;1;3;2;14401;23;1.754;30;0;144;1
85;CLI87;1;35;3;1;1;5;3;30889;7;1.905;30;0;314;1
86;CLI88;1;57;0;0;2;3;1;38323;9;0.857;30;0;245;3
87;CLI89;0;40;0;1;1;2;3;25955;15;2.066;30;0;252;1
88;CLI90;0;46;7;0;1;3;1;24287;13;0.818;30;0;438;2
89;CLI91;1;44;5;0;2;2;1;110264;27;1.905;120;1;316;0
90;CLI92;1;43;7;0;1;3;3;40139;18;1.882;30;0;293;1
91;CLI93;0;52;0;0;2;4;1;108973;35;1.17;80;0;109;3
92;CLI94;0;67;0;0;0;2;1;71322;29;1.502;50;0;471;0
93;CLI95;1;35;7;1;1;2;3;30236;12;2.043;30;0;44;1
94;CLI96;1;61;0;0;1;1;1;47955;48;1.424;30;0;291;3
95;CLI97;1;64;0;0;2;1;1;26340;47;0.603;30;0;298;3
96;CLI98;0;42;0;0;1;1;3;60797;6;1.836;50;0;331;0
97;CLI99;1;69;0;0;0;2;1;119525;38;1.189;50;0;501;0
98;CLI100;1;64;5;0;2;2;1;99774;2;1.052;50;1;360;3
99;CLI101;1;33;4;1;2;3;3;26010;45;1.169;30;1;152;1
100;CLI102;1;66;0;0;2;4;1;111087;48;1.6;80;0;51;3
101;CLI103;1;75;2;0;0;7;1;28531;4;1.482;30;1;142;3
102;CLI104;1;57;0;0;1;3;1;80413;41;1.463;30;1;190;3
