ID       ,Genero ,Casado ,Edad                ,Graduado ,Profesion        ,Experiencia laboral ,Gastoscore ,Family_Size ,anno_nacimiento      ,Generacion            ,Ingresos anuales brutos ,Provincia              ,Digital_encuesta ,Gasto_medio_mensual_cuota ,Abandono ,Dias_cliente          ,Campanna_anno
CLI2     ,M      ,No     ,0.05128205128205132 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.375 ,0.9487179487179489   ,Generacion Z          ,0.016463207867073587    ,Malaga                 ,"1,029"          ,      0.0                 ,     0.0 ,0.43508771929824563   ,
CLI3     ,F      ,Si     ,0.28205128205128205 ,Si       ,Ingeniero        ,+20annos            ,Medio      ,      0.25  ,0.717948717948719    ,Millennials           ,0.8994913530010173      ,Salamanca              ,"1,79"           ,      0.0                 ,     0.0 ,0.7456140350877193    ,3
CLI4     ,F      ,Si     ,0.6923076923076923  ,Si       ,Ingeniero        ,+20annos            ,Bajo       ,      0.0   ,0.30769230769231015  ,Generacion X          ,0.352068497795863       ,Burgos                 ,"1,326"          ,      0.11764705882352944 ,     0.0 ,0.6140350877192982    ,1
CLI5     ,M      ,Si     ,0.6923076923076923  ,Si       ,Servicios        ,+20annos            ,Alto       ,      0.125 ,0.30769230769231015  ,Generacion X          ,0.5957104103085793      ,Gerona                 ,"0,779"          ,      0.11764705882352944 ,     1.0 ,0.6263157894736842    ,3
CLI6     ,F      ,Si     ,0.3076923076923077  ,Si       ,Otros            ,+20annos            ,Alto       ,      0.625 ,0.6923076923076934   ,Generacion X          ,0.6677941675144117      ,Avila                  ,"1,767"          ,      0.0                 ,     1.0 ,0.4719298245614035    ,
CLI7     ,M      ,Si     ,0.5384615384615384  ,No       ,Artista          ,+20annos            ,Medio      ,      0.125 ,0.46153846153846345  ,Generacion X          ,0.3584011529331977      ,Orense                 ,"1,15"           ,      0.0                 ,     0.0 ,0.43508771929824563   ,
CLI8     ,M      ,No     ,0.1923076923076923  ,Si       ,Funcionario      ,10-20annos          ,Bajo       ,      0.25  ,0.8076923076923102   ,Millennials           ,0.07529671074940658     ,Almeria                ,"0,916"          ,      0.0                 ,     0.0 ,0.35789473684210527   ,
CLI9     ,F      ,No     ,0.20512820512820512 ,Si       ,Funcionario      ,10-20annos          ,Bajo       ,      0.25  ,0.7948717948717956   ,Millennials           ,0.13425737538148524     ,Lleida                 ,"1,56"           ,      0.0                 ,     0.0 ,0.8947368421052632    ,1
CLI10    ,F      ,Si     ,0.6025641025641025  ,Si       ,Ingeniero        ,+20annos            ,Bajo       ,      0.25  ,0.3974358974358978   ,Generacion X          ,0.6903950491692099      ,Segovia                ,"1,385"          ,      0.29411764705882354 ,     1.0 ,0.2894736842105263    ,
CLI11    ,F      ,Si     ,0.5256410256410257  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.375 ,0.47435897435897445  ,Generacion X          ,0.716522550016955       ,Castellon              ,"1,385"          ,      0.29411764705882354 ,     0.0 ,0.7947368421052631    ,3
CLI12    ,F      ,No     ,0.11538461538461542 ,Si       ,Ingeniero        ,<10annos            ,Bajo       ,      0.25  ,0.8846153846153868   ,Millennials           ,0.0720668023058664      ,Ciudad Real            ,"2,72"           ,      0.0                 ,     0.0 ,0.7298245614035087    ,3
CLI13    ,M      ,No     ,0.01282051282051283 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.375 ,0.987179487179489    ,Generacion Z          ,0.07480501865038997     ,Zamora                 ,"2,202"          ,      0.0                 ,     1.0 ,0.507017543859649     ,"0,5"
CLI14    ,F      ,No     ,0.01282051282051283 ,No       ,Ejecutivo        ,<10annos            ,Bajo       ,      0.0   ,0.987179487179489    ,Generacion Z          ,0.015217022719565959    ,Madrid                 ,"1,374"          ,      0.0                 ,     0.0 ,0.11578947368421053   ,
CLI15    ,M      ,Si     ,0.7307692307692307  ,No       ,Servicios        ,+20annos            ,Bajo       ,      0.0   ,0.26923076923077005  ,Generacion X          ,0.28212953543574093     ,Soria                  ,"1,228"          ,      0.0                 ,     0.0 ,0.7140350877192982    ,3
