Unnamed: 0,Edad,Profesion,Experiencia laboral,Gastoscore,Family_Size,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Dias_cliente,Cluster asignado
0,24,3,2,1,4,2,13945,30,1.029,30,278,2
1,42,4,0,2,3,3,118107,37,1.79,30,455,4
2,74,4,0,1,1,1,53533,8,1.326,50,380,0
3,74,8,0,0,2,1,82273,16,0.779,50,387,3
4,44,7,0,0,6,1,90776,4,1.767,30,299,1
5,62,0,0,2,2,1,54280,34,1.15,30,278,0
6,35,3,1,1,3,3,20885,3,0.916,30,234,2
7,36,3,1,1,3,3,27840,27,1.56,30,540,2
8,67,4,0,1,3,1,93442,39,1.385,80,195,1
9,61,0,0,2,4,1,96524,11,1.385,80,483,1
10,29,4,2,1,3,3,20504,13,2.72,30,446,2
11,21,3,2,1,4,2,20827,48,2.202,30,319,2
12,21,2,2,1,1,2,13798,29,1.374,30,96,2
13,77,8,0,1,1,1,45283,41,1.228,30,437,0
14,64,5,0,1,1,1,124152,13,0.779,120,375,4
15,45,3,0,1,2,1,46553,16,0.801,30,409,0
16,35,1,1,1,5,3,30513,49,1.767,30,328,2
17,34,3,1,1,6,3,31841,22,1.606,30,223,2
18,64,7,0,2,4,1,67505,3,0.72,80,118,3
19,87,0,0,0,1,0,114299,26,0.759,50,156,4
20,54,1,0,1,1,1,123974,12,0.622,50,51,4
21,20,3,2,1,4,2,21211,44,2.651,30,216,2
22,36,0,1,1,2,3,24060,25,0.916,30,355,2
23,40,0,1,1,2,3,32294,1,1.077,30,135,2
24,64,2,0,2,3,1,62196,47,0.876,30,223,3
25,62,0,0,2,3,1,126060,13,1.737,200,295,4
26,34,3,1,1,8,3,18106,20,1.974,30,490,2
27,54,0,0,2,3,1,32830,4,0.72,30,190,2
28,39,0,1,1,1,3,29902,18,1.008,30,38,2
29,39,0,1,1,4,3,28830,17,1.146,30,373,2
30,50,0,0,1,3,1,109666,24,1.17,80,416,4
31,46,5,0,1,2,1,58123,2,0.72,30,421,0
32,21,3,2,1,3,2,16852,27,1.512,30,168,2
33,29,1,2,1,1,3,28710,0,2.823,30,219,2
34,91,8,0,0,2,0,82612,26,1.091,120,337,3
35,30,3,2,1,4,3,21099,5,1.261,30,152,2
36,35,5,1,1,1,3,21460,49,1.537,30,240,2
37,31,3,2,2,5,3,23394,2,1.054,30,325,2
38,31,0,2,1,2,3,22565,40,0.87,30,520,2
39,62,0,0,2,2,1,49475,8,1.6,50,493,0
40,52,0,0,1,1,1,63940,37,0.798,50,33,3
41,24,3,2,1,2,2,17510,43,2.996,30,337,2
42,30,0,2,1,3,3,22608,16,1.261,30,40,2
43,54,0,0,1,2,1,53294,44,0.896,50,389,0
44,44,4,0,1,1,1,25196,9,1.629,30,265,2
45,87,8,0,0,2,0,48021,49,1.385,30,223,0
46,45,0,0,2,4,1,64917,18,1.698,30,187,3
47,32,3,1,1,1,3,22818,44,0.801,30,305,2
48,21,3,2,1,4,2,19656,1,2.306,30,249,2
49,50,4,0,1,1,1,26612,24,1.17,30,395,2
50,67,0,0,2,2,1,107377,2,1.561,120,152,4
51,40,0,1,2,2,3,83364,4,1.56,50,337,3
52,44,0,0,1,1,1,59461,4,1.79,50,330,0
53,63,7,0,2,2,1,90571,23,0.974,50,128,1
54,84,6,0,1,1,0,87489,44,1.385,120,550,1
55,35,0,1,2,2,3,19307,48,1.514,30,462,2
56,28,3,2,1,4,3,27496,20,2.237,30,401,2
57,35,5,1,1,2,3,20048,29,0.916,30,186,2
58,50,0,0,2,3,1,73150,39,0.74,80,523,3
59,79,8,0,1,1,0,77468,39,1.58,50,579,3
60,53,0,0,2,2,1,22901,8,0.72,30,65,2
61,61,0,0,2,2,1,56381,8,0.583,50,296,0
62,81,8,0,0,3,0,31295,36,0.818,30,170,2
63,62,8,0,0,2,1,102447,18,1.404,50,571,1
64,65,8,0,0,2,1,76260,5,1.502,50,215,3
65,28,7,2,1,2,3,25833,47,2.168,30,372,2
66,34,5,1,2,2,3,26168,40,0.939,30,594,2
67,30,0,2,1,4,3,27182,18,1.583,30,186,2
68,63,0,0,2,4,1,42360,20,1.033,30,35,0
69,43,1,0,0,2,3,86946,37,0.824,50,198,1
70,30,3,2,1,2,3,21017,2,1.813,30,451,2
71,56,7,0,2,2,1,125882,26,0.661,50,327,4
72,52,0,0,2,5,1,47137,8,0.837,30,372,0
73,36,3,1,1,4,3,22495,13,2.02,30,215,2
74,62,0,0,2,4,1,59420,43,1.326,80,223,0
75,36,1,1,1,3,3,24846,27,0.732,30,145,2
76,40,5,1,1,2,3,103438,41,1.721,50,249,1
77,56,0,0,1,3,1,28702,17,1.17,30,391,2
78,50,4,0,2,2,1,72025,2,0.622,50,47,3
